"Date","Price","Open","High","Low","Vol.","Change %"
"27-06-2025","157.75","156.04","158.71","155.26","263.23M","1.76%"
"26-06-2025","155.02","155.98","156.71","154.00","198.15M","0.46%"
"25-06-2025","154.31","149.27","154.45","149.26","269.15M","4.33%"
"24-06-2025","147.90","145.56","147.96","145.50","187.57M","2.59%"
"23-06-2025","144.17","142.50","144.78","142.03","154.31M","0.22%"
"20-06-2025","143.85","145.45","146.20","142.65","242.96M","-1.12%"
"18-06-2025","145.48","144.01","145.65","143.12","161.49M","0.94%"
"17-06-2025","144.12","144.49","145.22","143.78","139.11M","-0.39%"
"16-06-2025","144.69","143.35","146.18","143.20","183.13M","1.92%"
"13-06-2025","141.97","142.48","143.58","140.85","180.82M","-2.09%"
"12-06-2025","145.00","141.97","145.00","141.85","162.36M","1.52%"
"11-06-2025","142.83","144.61","144.99","141.87","167.69M","-0.78%"
"10-06-2025","143.96","142.69","144.29","141.52","155.88M","0.93%"
"09-06-2025","142.63","143.19","145.00","141.94","185.11M","0.64%"
"06-06-2025","141.72","142.51","143.27","141.51","153.99M","1.24%"
"05-06-2025","139.99","142.17","144.00","138.83","232.41M","-1.36%"
"04-06-2025","141.92","142.19","142.39","139.54","167.12M","0.50%"
"03-06-2025","141.22","138.78","142.00","137.95","225.58M","2.80%"
"02-06-2025","137.38","135.49","138.12","135.40","197.66M","1.67%"
"30-05-2025","135.13","138.71","139.62","132.92","333.17M","-2.92%"
"29-05-2025","139.19","142.24","143.49","137.91","370.62M","3.25%"
